t_ros,u_cmd_L,u_cmd_R,p_ch_L,p_ch_R,p_sup,L_pos_mm,R_pos_mm,F_L,F_R
1768579764.6273882,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.4730224609375,117.4648666381836,120.38323974609375
1768579764.6283877,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.5950927734375,117.42927551269531,120.24088287353516
1768579764.629387,5.0,5.0,0.0,0.0,0.0,213.41268920898438,200.83926391601562,116.8242416381836,119.99176025390625
1768579764.6303844,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.83926391601562,117.25132751464844,120.27647399902344
1768579764.6313872,5.0,5.0,0.0,0.0,0.0,213.90097045898438,200.5950927734375,117.42927551269531,120.24088287353516
1768579764.6323874,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.7171630859375,117.28691864013672,120.20529174804688
1768579764.6333876,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.83926391601562,117.60722351074219,120.38323974609375
1768579764.6343877,5.0,5.0,0.0,0.0,0.0,213.83993530273438,201.08340454101562,117.18014526367188,120.09852600097656
1768579764.6353853,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.96133422851562,117.39368438720703,120.24088287353516
1768579764.6363876,5.0,5.0,0.0,0.0,0.0,213.35165405273438,200.7171630859375,117.21573638916016,120.09852600097656
1768579764.637387,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.90029907226562,117.18014526367188,120.16970825195312
1768579764.6383874,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.96133422851562,117.0733642578125,119.84940338134766
1768579764.6393878,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.83926391601562,117.42927551269531,120.06293487548828
1768579764.6403878,5.0,5.0,0.0,0.0,0.0,213.53475952148438,201.02236938476562,117.322509765625,120.09852600097656
1768579764.6413887,5.0,5.0,0.0,0.0,0.0,214.08407592773438,200.96133422851562,117.4648666381836,120.27647399902344
1768579764.6423948,5.0,5.0,0.0,0.0,0.0,213.41268920898438,200.83926391601562,117.21573638916016,120.13411712646484
1768579764.6433876,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.7171630859375,117.35809326171875,120.31206512451172
1768579764.6443896,5.0,5.0,0.0,0.0,0.0,213.22955322265625,200.96133422851562,117.39368438720703,119.92057800292969
1768579764.6453874,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.83926391601562,117.322509765625,120.24088287353516
1768579764.646389,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.6561279296875,117.18014526367188,119.8849868774414
1768579764.6473887,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.90029907226562,117.64281463623047,120.34765625
1768579764.648388,5.0,5.0,0.0,0.0,0.0,213.83993530273438,201.08340454101562,117.28691864013672,120.24088287353516
1768579764.6493897,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.5950927734375,117.18014526367188,120.45442199707031
1768579764.6503837,5.0,5.0,0.0,0.0,0.0,214.02304077148438,200.90029907226562,117.25132751464844,120.06293487548828
1768579764.6513877,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.5340576171875,117.35809326171875,120.16970825195312
1768579764.6523879,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.7781982421875,117.67839813232422,120.34765625
1768579764.6533933,5.0,5.0,0.0,0.0,0.0,213.41268920898438,200.7781982421875,117.0733642578125,120.02735137939453
1768579764.6543877,5.0,5.0,0.0,0.0,0.0,213.90097045898438,200.5950927734375,117.35809326171875,120.45442199707031
1768579764.6553876,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.5950927734375,117.14456176757812,120.02735137939453
1768579764.656388,5.0,5.0,0.0,0.0,0.0,213.59579467773438,201.20547485351562,117.0733642578125,120.09852600097656
1768579764.6573873,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.4730224609375,117.53604125976562,120.5967788696289
1768579764.6583877,5.0,5.0,0.0,0.0,0.0,214.08407592773438,201.57168579101562,117.21573638916016,120.34765625
1768579764.659387,5.0,5.0,0.0,0.0,0.0,213.71786499023438,201.14443969726562,117.4648666381836,120.4900131225586
1768579764.660383,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.7171630859375,117.0733642578125,120.09852600097656
1768579764.6613872,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.7781982421875,117.25132751464844,120.27647399902344
1768579764.6623852,5.0,5.0,0.0,0.0,0.0,214.14511108398438,201.08340454101562,117.35809326171875,120.24088287353516
1768579764.6633875,5.0,5.0,0.0,0.0,0.0,213.41268920898438,200.83926391601562,117.25132751464844,120.06293487548828
1768579764.6643856,5.0,5.0,0.0,0.0,0.0,214.14511108398438,201.20547485351562,117.42927551269531,120.16970825195312
1768579764.665388,5.0,5.0,0.0,0.0,0.0,213.71786499023438,201.38858032226562,117.39368438720703,120.20529174804688
1768579764.6663902,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.96133422851562,117.39368438720703,120.02735137939453
1768579764.6673863,5.0,5.0,0.0,0.0,0.0,213.83993530273438,200.7781982421875,117.39368438720703,119.99176025390625
1768579764.6683874,5.0,5.0,0.0,0.0,0.0,213.35165405273438,200.90029907226562,117.322509765625,120.09852600097656
1768579764.6693873,5.0,5.0,0.0,0.0,0.0,213.83993530273438,201.20547485351562,117.60722351074219,120.27647399902344
1768579764.6703894,5.0,5.0,0.0,0.0,0.0,213.65682983398438,201.38858032226562,117.39368438720703,120.09852600097656
1768579764.671387,5.0,5.0,0.0,0.0,0.0,213.47372436523438,200.96133422851562,117.39368438720703,120.13411712646484
1768579764.6723864,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.83926391601562,117.14456176757812,120.16970825195312
1768579764.6733906,5.0,5.0,0.0,0.0,0.0,213.96200561523438,200.90029907226562,117.322509765625,119.95616912841797
1768579764.6743875,5.0,5.0,0.0,0.0,0.0,213.90097045898438,200.5950927734375,117.78517150878906,120.38323974609375
1768579764.6753871,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.4730224609375,117.322509765625,120.38323974609375
1768579764.6763873,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.7781982421875,117.53604125976562,120.16970825195312
1768579764.677387,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.96133422851562,117.5716323852539,120.20529174804688
1768579764.6783834,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.83926391601562,117.18014526367188,120.20529174804688
1768579764.6793873,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.7171630859375,117.322509765625,120.27647399902344
1768579764.680387,5.0,5.0,0.0,0.0,0.0,214.08407592773438,200.6561279296875,117.4648666381836,120.24088287353516
1768579764.6813867,5.0,5.0,0.0,0.0,0.0,213.35165405273438,200.6561279296875,117.5716323852539,120.24088287353516
1768579764.6823869,5.0,5.0,0.0,0.0,0.0,213.96200561523438,200.90029907226562,117.5716323852539,120.38323974609375
1768579764.6833882,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.7171630859375,117.39368438720703,120.34765625
1768579764.6843877,5.0,5.0,0.0,0.0,0.0,213.35165405273438,200.83926391601562,117.322509765625,120.24088287353516
1768579764.6853867,5.0,5.0,0.0,0.0,0.0,213.90097045898438,201.38858032226562,117.4648666381836,120.24088287353516
1768579764.686387,5.0,5.0,0.0,0.0,0.0,213.83993530273438,201.02236938476562,117.42927551269531,120.02735137939453
1768579764.6873865,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.83926391601562,117.67839813232422,120.27647399902344
1768579764.688387,5.0,5.0,0.0,0.0,0.0,213.96200561523438,200.96133422851562,117.28691864013672,120.24088287353516
1768579764.689392,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.96133422851562,117.25132751464844,120.24088287353516
1768579764.6903846,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.90029907226562,117.4648666381836,119.8849868774414
1768579764.6913881,5.0,5.0,0.0,0.0,0.0,214.14511108398438,200.83926391601562,117.322509765625,120.09852600097656
1768579764.6923873,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.7781982421875,117.42927551269531,120.13411712646484
1768579764.6933835,5.0,5.0,0.0,0.0,0.0,213.77890014648438,201.38858032226562,117.322509765625,120.02735137939453
1768579764.6943874,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.7781982421875,117.18014526367188,120.20529174804688
1768579764.6953871,5.0,5.0,0.0,0.0,0.0,214.14511108398438,201.20547485351562,117.42927551269531,120.24088287353516
1768579764.6963875,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.6561279296875,117.322509765625,120.41883087158203
1768579764.697387,5.0,5.0,0.0,0.0,0.0,214.08407592773438,200.7781982421875,117.322509765625,120.16970825195312
1768579764.698383,5.0,5.0,0.0,0.0,0.0,213.83993530273438,200.7171630859375,117.53604125976562,119.84940338134766
1768579764.6993878,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.44961547851562,117.322509765625,120.27647399902344
1768579764.7003875,5.0,5.0,0.0,0.0,0.0,213.96200561523438,200.6561279296875,117.18014526367188,119.95616912841797
1768579764.7013872,5.0,5.0,0.0,0.0,0.0,213.83993530273438,200.5340576171875,117.42927551269531,120.02735137939453
1768579764.7023869,5.0,5.0,0.0,0.0,0.0,213.41268920898438,200.96133422851562,117.21573638916016,120.20529174804688
1768579764.703393,5.0,5.0,0.0,0.0,0.0,213.96200561523438,200.5950927734375,117.10897064208984,120.27647399902344
1768579764.7043874,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.63272094726562,117.67839813232422,119.99176025390625
1768579764.7053866,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.96133422851562,117.5716323852539,120.34765625
